Priority,AssignedToID,ProjectCode,SubCategory,HoursEstimate,HoursActual
1,26,PC2,Enhancement,1.0,2.0
6,58,PC8,Enhancement,1.0,1.0
3,1,PC2,Bug,1.0,1.0
3,42,PC2,Training,0.5,0.5
6,65,PC2,Bug,15.0,18.5
8,42,PC2,Bug,1.0,1.25
5,42,PC2,Bug,3.0,2.5
3,42,PC2,Bug,4.0,1.75
3,42,PC2,Bug,2.0,1.25
10,42,PC18,Training,0.5,0.5
6,42,PC2,Documentation,2.0,2.0
4,42,PC2,Bug,3.0,5.0
1,1,PC2,Bug,3.5,4.0
1,13,PC2,Bug,4.0,4.0
1,26,PC2,Bug,7.0,9.0
3,26,PC16,Business Specification,2.0,2.0
2,26,PC16,Technical Specification,1.0,1.0
1,26,PC2,Bug,1.0,1.0
3,42,PC2,Bug,3.0,10.75
1,13,PC2,Release,2.0,2.0
5,65,PC2,Bug,5.0,8.0
5,65,PC11,Bug,7.0,12.0
1,13,PC2,Release,14.0,11.0
1,13,PC2,Release,7.0,6.5
1,26,PC2,Enhancement,2.0,1.5
1,13,PC2,Enhancement,7.0,2.5
1,26,PC2,Bug,2.0,1.0
1,26,PC2,Bug,1.0,1.0
3,42,PC2,Training,0.25,0.25
1,13,PC2,Release,2.0,1.0
10,1,PC9,Bug,1.0,1.0
1,58,PC2,Enhancement,2.0,1.5
3,26,PC2,Bug,2.0,2.0
2,26,PC2,Enhancement,4.0,6.5
1,13,PC2,Enhancement,7.0,5.0
3,58,PC9,Bug,3.0,1.0
1,22,PC2,Bug,4.0,1.75
1,22,PC2,Bug,1.0,1.0
3,26,PC2,Enhancement,2.0,0.5
10,65,PC9,Enhancement,5.0,5.0
10,65,PC9,Enhancement,1.5,4.0
1,58,PC9,Release,3.0,0.75
4,42,PC2,Bug,1.0,1.0
4,42,PC2,Enhancement,14.0,11.5
5,1,PC2,Release,1.0,1.0
10,65,PC11,Bug,5.0,5.0
1,22,PC9,Bug,4.0,4.0
1,26,PC2,Enhancement,3.0,2.5
2,26,PC16,Enhancement,3.0,11.0
2,26,PC2,Enhancement,14.0,16.0
2,26,PC2,Enhancement,21.0,28.0
5,1,PC9,Bug,1.0,1.0
1,58,PC2,Enhancement,7.0,5.0
1,58,PC2,Enhancement,35.0,31.0
1,58,PC2,Enhancement,35.0,42.75
1,58,PC2,Enhancement,17.5,4.25
1,58,PC2,Enhancement,49.0,19.25
1,58,PC2,Enhancement,21.0,11.5
1,58,PC2,Enhancement,2.0,1.5
1,58,PC2,Enhancement,7.0,0.5
6,42,PC2,Bug,3.0,1.5
1,22,PC9,Release,1.0,1.0
1,13,PC2,Enhancement,21.0,31.0
10,65,PC11,Enhancement,4.0,6.25
1,58,PC11,Bug,1.5,1.5
1,58,PC2,Documentation,1.5,1.5
4,42,PC2,Bug,7.0,13.5
1,58,PC9,Enhancement,0.25,0.25
1,58,PC9,Enhancement,2.0,0.25
1,13,PC2,Release,14.0,7.5
1,13,PC2,Release,7.0,6.0
1,13,PC2,Release,1.0,1.0
5,65,PC9,Enhancement,1.0,0.5
1,58,PC2,Enhancement,1.0,1.0
10,65,PC9,Enhancement,25.0,24.5
5,1,PC2,Bug,1.0,0.5
3,42,PC2,Bug,5.0,4.5
7,42,PC2,Bug,5.0,2.0
5,24,PC2,Enhancement,5.0,6.5
1,22,PC2,Training,4.0,4.0
1,22,PC2,Training,30.0,12.0
4,42,PC2,Enhancement,2.0,2.5
2,26,PC16,Enhancement,4.0,3.5
3,42,PC2,Enhancement,1.0,3.0
2,26,PC16,Bug,1.0,0.5
4,42,PC2,Bug,5.0,2.25
2,26,PC16,Technical Specification,7.0,7.5
1,26,PC16,Enhancement,14.0,35.5
3,42,PC2,Bug,3.0,7.75
2,13,PC2,Bug,0.5,0.25
1,13,PC2,Enhancement,2.0,2.5
5,1,PC9,Enhancement,1.0,0.75
3,42,PC2,Enhancement,1.0,1.25
10,65,PC17,Training,0.5,0.5
10,65,PC11,Bug,4.0,6.0
1,13,PC17,Enhancement,1.0,1.0
4,24,PC2,Enhancement,3.0,43.25
4,42,PC2,Bug,7.0,8.0
1,58,PC2,Bug,2.0,2.0
6,42,PC2,Bug,3.0,2.5
10,65,PC2,Training,7.0,8.0
8,42,PC2,Training,0.75,0.75
1,58,PC2,Bug,2.0,1.75
3,1,PC9,Bug,3.0,1.5
3,42,PC2,Bug,2.0,1.75
7,42,PC2,Bug,4.0,2.0
1,13,PC2,Bug,1.5,1.5
5,42,PC2,Bug,3.0,4.75
10,65,PC2,Training,3.0,3.0
1,13,PC2,Bug,7.0,2.0
1,58,PC2,Bug,1.0,2.0
2,26,PC16,Testing,7.0,7.0
1,58,PC2,Enhancement,1.0,0.75
10,65,PC2,Training,7.0,9.0
10,65,PC2,Training,1.5,1.0
2,13,PC2,Enhancement,21.0,19.5
5,65,PC9,Bug,3.0,6.5
1,13,PC17,Enhancement,0.25,0.25
2,26,PC16,Enhancement,7.0,24.0
1,13,PC2,Release,7.0,5.0
1,13,PC2,Release,7.0,6.0
1,13,PC2,Release,1.0,1.0
10,65,PC2,Enhancement,1.0,2.0
2,26,PC16,Business Specification,10.0,11.5
1,58,PC9,Bug,1.0,1.5
1,58,PC2,Bug,0.5,0.5
1,58,PC9,Bug,2.0,3.0
1,42,PC2,Bug,7.0,0.25
5,65,PC2,Testing,8.0,20.25
1,13,PC2,Release,1.5,2.0
1,13,PC2,Release,2.0,2.0
1,13,PC2,Enhancement,14.0,21.5
2,13,PC2,Enhancement,0.5,0.5
1,22,PC17,Enhancement,55.0,27.5
1,13,PC2,Bug,1.0,1.0
1,26,PC2,Bug,4.0,6.5
5,1,PC2,Enhancement,12.0,12.0
5,1,PC2,Enhancement,10.0,10.0
5,65,PC2,Enhancement,7.0,7.0
4,13,PC2,Bug,0.5,0.25
5,65,PC9,Bug,7.0,26.75
1,13,PC2,Enhancement,4.0,3.0
3,42,PC2,Bug,14.0,20.5
2,42,PC2,Enhancement,1.0,1.0
1,26,PC2,Enhancement,4.0,3.5
1,26,PC2,Business Specification,1.0,1.5
5,65,PC2,Bug,4.0,1.5
5,65,PC2,Bug,4.0,16.25
3,13,PC2,Enhancement,1.0,1.0
5,13,PC2,Bug,2.0,5.0
5,65,PC11,Bug,2.0,0.5
5,65,PC2,Bug,2.0,2.5
5,65,PC9,Testing,7.0,7.5
1,22,PC17,Enhancement,21.0,8.5
1,13,PC2,Enhancement,5.0,20.0
5,42,PC2,Bug,2.5,2.5
1,26,PC9,Bug,1.0,1.0
2,42,PC2,Bug,2.5,8.0
10,22,PC2,Enhancement,30.0,1.1
1,13,PC2,Testing,1.0,1.0
2,26,PC9,Bug,7.0,4.0
1,22,PC17,Bug,1.0,1.0
4,42,PC2,Enhancement,1.0,1.0
1,13,PC2,Release,5.0,8.5
5,65,PC2,Bug,2.0,2.0
3,42,PC2,Bug,1.0,0.75
2,13,PC17,Enhancement,0.5,0.5
2,26,PC2,Bug,5.0,2.0
5,65,PC11,Bug,0.5,0.5
1,22,PC17,Bug,4.0,2.2
6,42,PC2,Bug,7.0,4.3
1,13,PC2,Testing,0.5,0.5
5,65,PC2,Bug,2.0,5.0
1,26,PC2,Enhancement,3.0,3.0
5,1,PC2,Bug,1.0,0.5
4,42,PC2,Bug,3.0,4.5
1,22,PC17,Bug,14.0,11.3
3,42,PC2,Bug,2.0,3.0
5,1,PC2,Bug,2.0,1.0
5,42,PC2,Bug,7.0,3.5
4,1,PC2,Bug,1.0,2.0
6,42,PC2,Enhancement,2.0,1.7
10,65,PC9,Training,7.0,22.5
2,13,PC2,Enhancement,1.0,0.5
1,26,PC2,Bug,7.0,5.0
1,22,PC17,Enhancement,21.0,3.5
1,58,PC2,Bug,3.0,3.25
7,42,PC2,Bug,2.0,1.5
5,65,PC2,Bug,1.0,1.0
1,22,PC17,Enhancement,14.0,8.7
5,65,PC2,Bug,1.0,1.0
5,65,PC2,Enhancement,5.0,9.5
5,65,PC2,Bug,2.0,1.0
1,26,PC2,Bug,2.0,1.0
7,42,PC9,Bug,3.0,2.5
2,42,PC2,Enhancement,5.0,5.0
3,42,PC2,Enhancement,4.0,2.7
10,42,PC2,Testing,1.0,1.0
1,22,PC17,Enhancement,14.0,12.0
1,58,PC9,Enhancement,21.0,26.75
5,24,PC17,Enhancement,21.0,2.5
1,22,PC17,Enhancement,14.0,11.25
4,24,PC17,Enhancement,1.0,1.0
6,42,PC18,Release,2.0,4.5
10,65,PC2,Enhancement,2.0,2.0
2,26,PC2,Enhancement,7.0,7.0
4,43,PC18,Enhancement,1.5,2.0
1,1,PC2,Enhancement,5.0,5.0
10,22,PC11,Enhancement,30.0,2.25
5,42,PC2,Bug,7.0,11.0
1,13,PC2,Enhancement,1.0,2.5
1,13,PC2,Enhancement,14.0,15.5
5,65,PC2,Bug,5.0,2.0
2,24,PC17,Enhancement,21.0,67.85
1,13,PC2,Enhancement,3.0,2.5
2,13,PC2,Enhancement,0.5,1.0
1,13,PC2,Release,7.0,5.0
1,13,PC2,Release,7.0,11.0
1,13,PC2,Release,1.0,1.0
1,26,PC16,Enhancement,7.0,3.5
1,58,PC2,Enhancement,7.0,10.5
2,26,PC2,Enhancement,7.0,0.5
2,26,PC2,Enhancement,7.0,7.0
1,22,PC17,Enhancement,14.0,7.2
5,65,PC9,Bug,4.0,8.0
1,58,PC2,Documentation,0.5,0.5
1,58,PC11,Enhancement,1.0,1.25
1,58,PC9,Enhancement,21.0,56.2
7,42,PC2,Bug,3.0,2.5
1,22,PC17,Enhancement,14.0,11.0
3,65,PC2,Enhancement,1.5,1.75
6,42,PC2,Enhancement,0.5,0.5
1,26,PC2,Bug,1.0,0.5
2,22,PC17,Enhancement,2.0,1.0
5,1,PC9,Bug,1.0,1.5
2,26,PC2,Bug,3.0,4.0
1,26,PC2,Bug,1.0,0.5
2,24,PC17,Enhancement,5.0,2.0
5,65,PC2,Enhancement,4.0,4.25
1,22,PC17,Enhancement,14.0,2.7
2,24,PC2,Enhancement,1.5,1.0
1,13,PC2,Bug,0.25,0.25
1,58,PC11,Enhancement,1.0,1.0
2,42,PC2,Bug,2.0,1.25
1,13,PC2,Bug,0.25,0.25
2,42,PC2,Bug,3.5,2.25
2,42,PC2,Bug,1.5,1.5
1,22,PC17,Bug,1.0,2.0
4,42,PC2,Bug,3.5,1.25
1,13,PC2,Enhancement,14.0,42.75
2,65,PC2,Bug,4.0,4.0
2,42,PC2,Bug,5.0,3.25
2,42,PC2,Bug,1.0,0.5
10,42,PC2,Enhancement,7.0,12.5
2,26,PC2,Enhancement,14.0,18.0
1,13,PC2,Enhancement,0.5,0.5
2,42,PC2,Bug,7.0,8.75
2,42,PC2,Bug,7.0,6.25
2,42,PC2,Bug,5.0,4.5
2,65,PC2,Bug,3.0,5.0
2,42,PC2,Bug,2.0,1.5
2,65,PC2,Bug,1.0,1.25
1,22,PC17,Enhancement,5.0,2.25
2,13,PC2,Enhancement,1.0,1.0
10,42,PC2,Training,50.0,4.5
4,42,PC2,Bug,4.0,2.0
2,13,PC2,Bug,0.25,0.25
2,65,PC2,Bug,2.0,4.25
2,42,PC2,Bug,0.5,0.5
2,13,PC2,Bug,1.0,1.5
2,13,PC2,Bug,0.5,0.5
2,42,PC2,Bug,2.0,2.0
2,13,PC2,Bug,0.25,0.25
2,26,PC2,Enhancement,14.0,22.5
2,42,PC2,Bug,2.0,2.0
1,22,PC17,Enhancement,2.0,1.0
1,13,PC2,Bug,1.0,1.0
4,24,PC2,Enhancement,3.0,7.0
5,65,PC9,Enhancement,12.0,14.5
1,58,PC2,Enhancement,35.0,70.65
1,22,PC17,Enhancement,1.0,1.0
1,22,PC17,Enhancement,4.0,1.4
1,22,PC17,Bug,21.0,6.6
5,42,PC2,Bug,2.0,1.75
2,13,PC2,Enhancement,1.5,1.5
2,42,PC2,Bug,3.0,3.0
2,26,PC2,Enhancement,0.5,0.5
2,13,PC2,Bug,0.5,1.0
1,24,PC17,Enhancement,49.0,79.75
5,65,PC2,Bug,7.0,9.5
2,13,PC2,Enhancement,1.0,1.0
2,42,PC2,Bug,7.0,4.0
2,26,PC2,Bug,17.0,28.5
2,42,PC2,Bug,4.0,3.75
1,22,PC17,Enhancement,7.0,7.0
2,42,PC2,Bug,0.5,0.5
10,42,PC18,Training,0.5,0.5
10,42,PC18,Training,1.5,1.5
2,42,PC2,Enhancement,0.5,0.5
8,42,PC2,Training,2.5,3.5
8,42,PC2,Enhancement,0.5,0.5
10,42,PC18,Testing,0.5,0.5
10,42,PC18,Training,0.75,0.75
2,22,PC17,Enhancement,4.0,5.5
5,42,PC9,Release,0.5,0.5
1,13,PC2,Bug,3.0,3.5
1,13,PC2,Enhancement,1.0,1.0
1,22,PC17,Enhancement,21.0,29.6
2,42,PC2,Bug,1.5,1.5
8,42,PC2,Testing,4.5,4.5
2,42,PC2,Bug,3.5,3.0
6,42,PC2,Bug,5.0,4.0
1,13,PC2,Bug,0.5,0.25
1,13,PC2,Enhancement,14.0,33.0
3,24,PC17,Enhancement,3.0,1.0
5,65,PC9,Enhancement,5.0,11.5
1,58,PC2,Technical Specification,3.0,3.25
1,26,PC2,Bug,2.0,2.0
6,42,PC2,Bug,2.0,2.0
1,26,PC2,Bug,1.0,1.0
1,13,PC2,Enhancement,1.0,1.0
2,13,PC2,Enhancement,0.25,0.25
1,22,PC17,Enhancement,15.0,22.5
5,65,PC9,Enhancement,7.0,7.0
1,26,PC2,Enhancement,7.0,9.5
2,13,PC2,Enhancement,0.5,0.5
7,24,PC17,Enhancement,3.0,2.0
5,65,PC9,Enhancement,20.0,21.75
2,13,PC9,Training,1.75,1.75
2,13,PC2,Bug,0.5,0.75
2,26,PC2,Enhancement,7.0,8.5
1,24,PC2,Enhancement,1.5,1.5
2,13,PC2,Enhancement,0.5,0.5
4,24,PC2,Enhancement,4.0,50.25
5,65,PC2,Bug,0.5,0.5
6,42,PC18,Training,1.75,1.75
2,26,PC2,Testing,7.0,35.0
1,58,PC2,Training,1.5,1.5
1,13,PC2,Enhancement,0.5,0.5
1,58,PC2,Technical Specification,1.0,1.0
5,65,PC9,Enhancement,7.0,11.0
5,65,PC9,Enhancement,4.0,11.0
1,13,PC2,Enhancement,7.0,23.5
2,26,PC2,Enhancement,3.0,3.0
1,26,PC2,Enhancement,2.0,1.0
1,58,PC2,Technical Specification,2.0,2.5
1,26,PC2,Bug,3.0,3.0
1,13,PC2,Enhancement,1.0,1.0
2,26,PC2,Enhancement,3.0,2.5
1,13,PC2,Enhancement,1.0,1.0
2,26,PC2,Bug,1.0,1.0
2,42,PC2,Bug,1.0,1.0
2,42,PC2,Bug,2.0,2.0
2,13,PC2,Enhancement,1.0,1.0
1,22,PC17,Enhancement,14.0,8.0
1,22,PC17,Enhancement,14.0,4.0
2,13,PC2,Enhancement,0.5,1.0
5,65,PC9,Enhancement,10.0,8.0
1,26,PC2,Enhancement,5.0,10.0
2,26,PC2,Enhancement,2.0,2.5
1,26,PC2,Bug,0.5,0.5
2,42,PC2,Enhancement,3.0,3.0
2,42,PC2,Enhancement,1.5,1.5
1,58,PC9,Enhancement,5.0,6.5
1,58,PC2,Training,1.0,1.0
2,42,PC2,Enhancement,1.0,1.0
2,42,PC2,Enhancement,3.0,3.0
1,24,PC17,Enhancement,15.0,6.0
1,13,PC2,Documentation,1.0,1.5
2,42,PC2,Technical Specification,2.0,2.0
5,65,PC9,Enhancement,2.0,3.5
5,65,PC9,Enhancement,7.0,6.5
1,22,PC17,Enhancement,14.0,5.7
1,13,PC2,Release,0.5,0.25
1,22,PC17,Enhancement,5.0,6.7
1,13,PC2,Release,1.0,1.0
6,42,PC2,Bug,3.0,3.0
1,13,PC2,Enhancement,0.5,0.5
1,13,PC2,Release,1.0,1.5
1,58,PC2,Enhancement,35.0,52.0
1,26,PC2,Bug,2.0,1.5
1,13,PC2,Release,3.0,18.5
2,13,PC2,Bug,1.0,0.5
2,42,PC2,Bug,2.0,4.0
10,42,PC2,Training,0.5,0.5
5,65,PC9,Enhancement,7.0,12.5
2,13,PC2,Enhancement,1.0,1.0
2,24,PC2,Enhancement,40.0,3.25
2,26,PC8,Enhancement,3.5,2.5
1,22,PC17,Bug,3.0,3.0
5,42,PC2,Bug,2.0,4.0
1,26,PC2,Bug,2.0,1.5
1,26,PC2,Bug,1.0,1.0
2,26,PC2,Enhancement,3.0,3.0
1,13,PC2,Release,7.0,7.5
1,13,PC2,Release,7.0,17.0
5,65,PC9,Enhancement,2.0,9.0
5,65,PC18,Training,14.0,15.5
1,13,PC2,Release,1.0,1.0
1,26,PC2,Enhancement,0.5,0.5
2,26,PC2,Enhancement,1.0,1.0
1,22,PC17,Enhancement,17.5,4.38
2,26,PC2,Bug,0.5,0.5
9,42,PC18,Training,4.0,4.0
1,13,PC2,Release,7.0,12.5
1,13,PC2,Release,1.0,1.0
1,22,PC17,Enhancement,21.0,7.0
1,58,PC9,Enhancement,25.0,1.0
1,26,PC2,Bug,3.5,3.5
5,65,PC18,Enhancement,0.5,0.5
5,65,PC9,Enhancement,4.0,5.0
1,13,PC2,Release,7.0,25.0
5,65,PC9,Enhancement,1.0,3.0
1,24,PC17,Enhancement,21.0,339.9
1,26,PC2,Bug,2.0,0.5
2,26,PC16,Enhancement,4.0,5.0
5,65,PC8,Bug,1.0,1.0
5,65,PC2,Enhancement,14.0,8.5
1,13,PC2,Release,14.0,8.0
1,26,PC2,Enhancement,7.0,10.5
3,42,PC2,Bug,6.0,7.15
2,26,PC2,Bug,2.0,2.5
1,26,PC2,Bug,1.0,1.0
1,58,PC2,Enhancement,21.0,8.8
4,42,PC2,Bug,4.0,1.25
5,42,PC18,Training,1.0,5.0
2,26,PC2,Enhancement,1.0,1.0
1,26,PC2,Enhancement,1.5,1.5
5,42,PC2,Enhancement,21.0,15.0
5,65,PC9,Enhancement,10.0,1.0
1,24,PC2,Enhancement,1.0,1.0
6,42,PC2,Training,1.25,1.25
1,13,PC2,Release,7.0,5.5
5,65,PC9,Enhancement,4.0,4.0
1,26,PC2,Enhancement,1.0,1.0
1,26,PC2,Testing,7.0,6.5
1,13,PC2,Release,7.0,22.5
1,13,PC2,Release,1.5,1.5
1,58,PC2,Enhancement,1.0,0.5
1,58,PC2,Enhancement,7.0,6.25
1,58,PC2,Bug,3.0,1.0
1,13,PC2,Bug,1.0,0.5
1,26,PC2,Bug,7.0,5.0
1,58,PC2,Enhancement,4.0,3.25
2,26,PC2,Bug,1.0,1.0
1,58,PC2,Bug,3.0,3.5
1,13,PC2,Bug,7.0,5.0
1,26,PC2,Bug,7.0,1.5
2,26,PC2,Bug,1.0,0.5
4,26,PC2,Enhancement,2.0,2.0
2,26,PC2,Bug,0.5,0.5
1,26,PC2,Bug,2.0,1.5
1,26,PC2,Enhancement,0.5,0.5
1,42,PC2,Enhancement,2.0,2.0
1,26,PC2,Bug,0.5,0.5
2,26,PC2,Bug,0.5,0.5
5,65,PC2,Enhancement,1.0,2.5
1,26,PC2,Testing,10.0,13.5
1,58,PC2,Bug,1.0,0.25
1,26,PC2,Bug,0.5,0.5
3,26,PC2,Bug,0.5,0.5
2,13,PC2,Enhancement,1.0,1.0
2,26,PC2,Enhancement,1.0,1.0
4,42,PC2,Enhancement,0.25,0.25
1,26,PC2,Enhancement,4.0,7.5
2,13,PC2,Enhancement,0.5,0.5
3,42,PC2,Enhancement,6.0,13.0
1,13,PC2,Release,0.5,0.5
1,13,PC2,Release,0.5,2.25
1,13,PC2,Release,7.0,10.5
1,13,PC2,Release,1.5,1.5
5,65,PC9,Bug,2.5,0.75
1,26,PC2,Testing,8.0,35.0
3,58,PC2,Enhancement,0.5,0.5
3,58,PC2,Enhancement,1.0,7.25
4,42,PC2,Testing,3.5,3.5
1,13,PC2,Bug,2.0,1.5
1,13,PC2,Release,21.0,23.35
1,58,PC11,Bug,0.25,0.25
2,13,PC2,Enhancement,7.0,1.0
3,42,PC2,Enhancement,5.0,5.5
1,13,PC2,Release,0.25,0.25
4,42,PC2,Enhancement,2.5,3.0
4,42,PC2,Enhancement,1.0,1.25
7,42,PC2,Documentation,0.5,0.5
1,13,PC2,Enhancement,2.0,1.0
2,26,PC2,Business Specification,7.0,2.0
1,13,PC2,Release,0.5,0.5
3,26,PC2,Bug,1.0,0.5
2,26,PC2,Enhancement,50.0,114.5
2,13,PC2,Release,2.0,2.0
1,58,PC2,Release,1.5,1.43
1,58,PC2,Release,1.5,0.94
4,42,PC2,Enhancement,7.0,10.75
2,13,PC2,Bug,0.5,0.5
1,58,PC2,Enhancement,1.0,0.25
1,58,PC2,Release,1.0,0.85
4,42,PC2,Enhancement,2.0,2.0
2,13,PC2,Bug,2.0,2.0
1,58,PC2,Enhancement,14.0,33.5
5,42,PC2,Enhancement,3.5,5.0
2,13,PC2,Release,0.15,0.15
1,58,PC2,Release,1.0,0.75
1,26,PC2,Bug,2.0,2.0
2,13,PC2,Testing,1.0,1.0
1,13,PC2,Release,3.5,5.25
5,42,PC2,Enhancement,1.0,3.25
7,42,PC9,Enhancement,7.0,19.0
1,13,PC2,Release,2.0,2.0
2,13,PC2,Enhancement,1.0,1.0
1,24,PC2,Enhancement,21.0,34.0
2,26,PC2,Enhancement,3.0,4.0
7,42,PC2,Documentation,0.5,0.75
1,13,PC2,Release,0.5,0.5
4,42,PC2,Enhancement,0.5,0.05
6,42,PC2,Enhancement,0.5,0.05
6,42,PC2,Enhancement,0.5,0.05
5,42,PC2,Enhancement,2.0,1.05
5,42,PC2,Enhancement,0.5,0.05
5,42,PC2,Enhancement,1.0,0.05
5,42,PC2,Enhancement,0.5,0.05
5,42,PC2,Enhancement,0.05,0.05
5,42,PC2,Enhancement,0.5,0.55
5,42,PC2,Enhancement,1.0,0.05
5,42,PC2,Enhancement,0.5,0.5
3,42,PC9,Bug,0.5,0.75
1,13,PC2,Release,8.0,10.0
4,42,PC2,Enhancement,0.75,0.75
1,13,PC2,Release,1.0,1.0
1,13,PC2,Release,1.0,1.0
1,58,PC2,Enhancement,10.0,12.5
7,42,PC2,Enhancement,0.25,0.25
4,42,PC2,Enhancement,1.0,1.25
4,42,PC2,Enhancement,2.0,4.75
5,42,PC2,Documentation,3.5,5.5
1,13,PC2,Release,1.0,1.0
1,13,PC2,Release,2.0,2.0
2,26,PC16,Enhancement,5.0,10.0
5,42,PC2,Enhancement,2.0,0.5
5,42,PC2,Enhancement,5.0,1.75
2,26,PC2,Enhancement,2.0,2.5
1,13,PC2,Bug,1.0,1.0
1,13,PC2,Release,0.25,0.25
3,42,PC2,Bug,5.0,5.0
1,26,PC2,Testing,14.0,11.0
1,13,PC2,Enhancement,1.0,1.0
1,13,PC2,Enhancement,3.0,7.25
5,42,PC2,Bug,2.0,1.5
5,42,PC2,Enhancement,0.25,0.25
5,42,PC2,Enhancement,0.1,0.1
5,42,PC2,Enhancement,5.0,2.0
5,42,PC2,Enhancement,1.0,0.5
5,42,PC2,Enhancement,3.0,1.5
5,42,PC2,Enhancement,2.0,0.75
5,42,PC2,Enhancement,3.0,0.25
5,42,PC2,Enhancement,3.5,0.5
1,13,PC2,Enhancement,0.5,0.5
2,26,PC16,Enhancement,14.0,43.5
5,42,PC2,Enhancement,4.5,4.0
1,58,PC9,Release,7.0,2.5
2,13,PC2,Bug,5.0,9.0
2,13,PC2,Enhancement,1.5,1.0
1,13,PC2,Enhancement,1.0,1.0
4,42,PC2,Enhancement,2.0,2.25
7,42,PC2,Enhancement,2.5,2.75
4,42,PC2,Enhancement,0.5,0.5
2,26,PC2,Enhancement,4.0,4.0
2,26,PC2,Enhancement,50.0,156.0
1,42,PC2,Enhancement,3.0,1.0
8,42,PC2,Training,1.25,1.25
1,13,PC2,Enhancement,5.0,5.0
1,13,PC2,Enhancement,1.0,1.5
1,58,PC9,Enhancement,4.0,8.25
1,13,PC2,Enhancement,5.0,3.5
5,42,PC2,Enhancement,1.0,1.0
1,13,PC2,Enhancement,7.0,39.17
1,13,PC2,Bug,0.5,0.5
1,26,PC2,Bug,7.0,3.5
1,13,PC2,Testing,0.75,0.75
1,13,PC2,Enhancement,1.0,1.0
4,42,PC2,Enhancement,0.25,0.25
4,42,PC9,Enhancement,14.0,8.0
1,13,PC2,Enhancement,3.5,0.5
2,26,PC2,Enhancement,1.0,0.5
1,13,PC2,Enhancement,5.0,6.5
1,13,PC2,Enhancement,3.5,3.5
10,42,PC18,Training,0.5,0.5
1,58,PC2,Enhancement,4.0,0.5
1,13,PC2,Bug,1.0,1.0
1,13,PC2,Enhancement,2.0,2.0
2,13,PC2,Release,0.5,0.5
1,58,PC11,Enhancement,7.0,5.09
4,42,PC2,Bug,2.0,2.5
1,26,PC2,Enhancement,2.0,2.5
1,26,PC2,Enhancement,5.0,0.5
1,26,PC2,Bug,10.0,3.5
1,26,PC2,Enhancement,4.0,4.5
4,42,PC2,Enhancement,1.25,0.75
4,42,PC2,Enhancement,1.0,1.0
3,42,PC2,Bug,1.0,1.0
2,13,PC2,Bug,1.0,0.5
1,13,PC2,Enhancement,0.5,0.5
3,24,PC2,Enhancement,2.0,1.0
1,26,PC2,Enhancement,1.0,1.0
5,42,PC2,Enhancement,2.0,2.5
4,42,PC2,Bug,2.0,1.5
1,42,PC2,Bug,2.0,0.1
1,58,PC11,Enhancement,35.0,3.34
2,42,PC2,Enhancement,3.5,4.0
3,24,PC17,Enhancement,1.0,0.5
4,42,PC2,Enhancement,1.0,1.8
5,42,PC2,Enhancement,2.0,3.75
1,13,PC2,Bug,1.0,0.75
1,13,PC2,Enhancement,6.0,13.5
1,13,PC2,Bug,0.25,0.25
1,13,PC2,Enhancement,1.0,3.75
1,13,PC2,Bug,0.5,0.5
4,42,PC2,Technical Specification,2.0,2.0
8,42,PC2,Enhancement,2.0,1.5
6,42,PC2,Documentation,1.5,1.5
3,42,PC2,Enhancement,3.5,2.25
2,26,PC2,Bug,2.0,1.0
1,13,PC2,Testing,0.5,1.5
1,26,PC16,Enhancement,4.0,4.0
1,58,PC2,Documentation,3.0,2.75
2,42,PC2,Bug,7.0,4.5
1,13,PC2,Enhancement,10.0,30.5
1,13,PC2,Enhancement,3.5,6.0
2,26,PC16,Enhancement,4.0,12.5
2,26,PC16,Enhancement,2.0,2.0
5,58,PC2,Enhancement,2.0,1.5
4,42,PC2,Enhancement,3.5,1.5
1,26,PC2,Enhancement,4.0,3.0
5,42,PC2,Bug,1.0,0.5
5,42,PC2,Bug,2.0,1.5
5,42,PC2,Bug,5.0,13.0
5,42,PC2,Enhancement,0.5,0.5
5,42,PC2,Training,0.5,1.0
5,42,PC2,Enhancement,0.25,0.25
5,42,PC2,Enhancement,0.5,0.25
5,42,PC2,Bug,2.0,0.1
5,42,PC2,Enhancement,0.5,0.25
5,42,PC2,Enhancement,3.5,3.75
8,26,PC16,Enhancement,0.5,0.5
5,42,PC2,Enhancement,2.5,2.5
5,42,PC2,Enhancement,1.5,1.25
5,42,PC2,Enhancement,7.0,1.5
3,42,PC2,Enhancement,3.0,1.5
5,42,PC2,Enhancement,0.5,0.75
5,42,PC2,Bug,2.0,0.75
5,42,PC2,Enhancement,2.0,1.25
3,26,PC16,Bug,3.0,3.0
5,42,PC2,Enhancement,3.0,0.75
5,42,PC2,Enhancement,3.5,0.1
1,13,PC2,Enhancement,3.5,4.0
5,42,PC2,Bug,2.0,0.1
1,13,PC2,Testing,1.0,1.25
5,42,PC2,Enhancement,5.0,6.5
1,13,PC2,Bug,1.0,1.5
1,13,PC2,Bug,2.0,2.0
1,13,PC2,Release,2.0,1.5
1,13,PC2,Training,0.5,0.5
1,13,PC2,Release,0.5,0.5
1,13,PC2,Enhancement,1.0,1.0
4,24,PC11,Enhancement,1.25,1.25
1,13,PC2,Enhancement,0.5,0.5
1,13,PC2,Release,0.5,3.0
1,43,PC2,Enhancement,1.0,1.0
